AI(BLACK)：,サンラム
AI(WHITE)：,改良版MIN-MAX法を用いたプログラム5

No,黒の駒数,白の駒数,処理時間(ms)
1,34,30,473
2,43,21,465
3,34,30,483
4,34,30,477
5,33,31,464
6,36,28,471
7,17,47,470
8,17,47,459
9,43,21,500
10,34,30,472
11,43,21,467
12,32,32,457
13,20,44,452
14,15,49,472
15,33,31,482
16,43,21,510
17,30,34,483
18,39,25,524
19,15,49,471
20,23,41,517
21,17,47,453
22,43,21,465
23,43,21,494
24,23,41,510
25,43,21,507
26,17,47,469
27,43,21,521
28,20,44,490
29,43,21,491
30,43,21,497
31,43,21,507
32,24,40,482
33,34,30,484
34,34,30,460
35,43,21,465
36,40,24,464
37,34,30,446
38,34,30,468
39,18,46,446
40,43,21,495
41,23,41,488
42,43,21,470
43,43,21,469
44,43,21,491
45,40,24,455
46,43,21,476
47,43,21,480
48,33,31,473
49,18,46,472
50,13,51,520
51,43,21,507
52,17,47,499
53,43,21,517
54,34,30,481
55,34,30,497
56,18,46,471
57,24,40,462
58,24,40,478
59,34,30,504
60,15,49,462
61,43,21,501
62,15,49,491
63,34,30,506
64,43,21,481
65,29,35,541
66,40,24,503
67,34,30,525
68,34,30,556
69,15,49,504
70,27,37,607
71,40,24,528
72,33,31,496
73,34,30,521
74,30,34,472
75,43,21,493
76,17,47,478
77,32,32,462
78,21,43,453
79,30,34,454
80,43,21,483
81,21,43,474
82,24,40,471
83,40,24,455
84,34,30,470
85,24,40,448
86,34,30,489
87,34,30,452
88,34,30,469
89,43,21,469
90,24,40,466
91,17,47,462
92,15,49,450
93,15,49,459
94,34,30,476
95,33,31,459
96,31,33,452
97,33,31,475
98,34,30,482
99,32,32,453
100,43,21,461
